task_id,benchmark,policy,cost_model,n_steps,n_compactions,total_prompt_tokens,total_cached_tokens,total_completion_tokens,lifetime_cost,uncached_dollars,cached_dollars,output_dollars,compaction_dollars
ac_agentic_coding_8k-00002,ac_agentic_coding_8k,naive_summary,openai/gpt-4.1,7,5,52274,39137,1521,0.0684345,0.026274,0.0195685,0.012168,0.010424
ac_agentic_coding_8k-00002,ac_agentic_coding_8k,naive_summary,qwen/qwen3-30b-a3b,7,5,52274,39137,1521,0.0026825700000000004,0.0013137000000000001,0.00039137,0.00045630000000000003,0.0005212000000000001
ac_agentic_coding_8k-00002,ac_agentic_coding_8k,microcompact,anthropic/claude-haiku-4-5,7,1,26324,15468,1521,0.0272908,0.010856,0.0015468,0.007605,0.007283
ac_agentic_coding_8k-00002,ac_agentic_coding_8k,microcompact,anthropic/claude-sonnet-4-6,7,1,26324,15468,1521,0.08187240000000001,0.032568,0.004640399999999999,0.022815,0.021849
ac_agentic_coding_8k-00002,ac_agentic_coding_8k,microcompact,openai/gpt-4.1-mini,7,1,26324,15468,1521,0.011236,0.004342400000000001,0.0015468,0.0024335999999999997,0.0029132000000000003
ac_agentic_coding_8k-00002,ac_agentic_coding_8k,microcompact,openai/gpt-4.1,7,1,26324,15468,1521,0.05618,0.021712,0.007734,0.012168,0.014566
ac_agentic_coding_8k-00002,ac_agentic_coding_8k,microcompact,qwen/qwen3-30b-a3b,7,1,26324,15468,1521,0.00242488,0.0010856000000000001,0.00015468,0.00045630000000000003,0.0007283000000000001
ac_agentic_coding_8k-00002,ac_agentic_coding_8k,prefix_preserving,anthropic/claude-haiku-4-5,7,0,56044,45574,1521,0.0226324,0.01047,0.0045574000000000005,0.007605,0.0
ac_agentic_coding_8k-00002,ac_agentic_coding_8k,prefix_preserving,anthropic/claude-sonnet-4-6,7,0,56044,45574,1521,0.0678972,0.03141,0.013672199999999999,0.022815,0.0
ac_agentic_coding_8k-00002,ac_agentic_coding_8k,prefix_preserving,openai/gpt-4.1-mini,7,0,56044,45574,1521,0.011179,0.004188,0.0045574000000000005,0.0024335999999999997,0.0
ac_agentic_coding_8k-00002,ac_agentic_coding_8k,prefix_preserving,openai/gpt-4.1,7,0,56044,45574,1521,0.055895,0.02094,0.022787,0.012168,0.0
ac_agentic_coding_8k-00002,ac_agentic_coding_8k,prefix_preserving,qwen/qwen3-30b-a3b,7,0,56044,45574,1521,0.00195904,0.001047,0.00045574,0.00045630000000000003,0.0
ac_agentic_coding_8k-00002,ac_agentic_coding_8k,boundary_aware,anthropic/claude-haiku-4-5,7,0,56044,45574,1521,0.0226324,0.01047,0.0045574000000000005,0.007605,0.0
ac_agentic_coding_8k-00002,ac_agentic_coding_8k,boundary_aware,anthropic/claude-sonnet-4-6,7,0,56044,45574,1521,0.0678972,0.03141,0.013672199999999999,0.022815,0.0
ac_agentic_coding_8k-00002,ac_agentic_coding_8k,boundary_aware,openai/gpt-4.1-mini,7,0,56044,45574,1521,0.011179,0.004188,0.0045574000000000005,0.0024335999999999997,0.0
ac_agentic_coding_8k-00002,ac_agentic_coding_8k,boundary_aware,openai/gpt-4.1,7,0,56044,45574,1521,0.055895,0.02094,0.022787,0.012168,0.0
ac_agentic_coding_8k-00002,ac_agentic_coding_8k,boundary_aware,qwen/qwen3-30b-a3b,7,0,56044,45574,1521,0.00195904,0.001047,0.00045574,0.00045630000000000003,0.0
ac_agentic_coding_8k-00003,ac_agentic_coding_8k,none,anthropic/claude-haiku-4-5,10,0,98001,82942,2282,0.0347632,0.015059,0.008294200000000002,0.01141,0.0
ac_agentic_coding_8k-00003,ac_agentic_coding_8k,none,anthropic/claude-sonnet-4-6,10,0,98001,82942,2282,0.1042896,0.045177,0.024882599999999998,0.03423,0.0
ac_agentic_coding_8k-00003,ac_agentic_coding_8k,none,openai/gpt-4.1-mini,10,0,98001,82942,2282,0.017969000000000002,0.0060236000000000005,0.008294200000000002,0.0036512000000000003,0.0
ac_agentic_coding_8k-00003,ac_agentic_coding_8k,none,openai/gpt-4.1,10,0,98001,82942,2282,0.08984500000000001,0.030118,0.041471,0.018256,0.0
ac_agentic_coding_8k-00003,ac_agentic_coding_8k,none,qwen/qwen3-30b-a3b,10,0,98001,82942,2282,0.00301992,0.0015059000000000001,0.0008294200000000001,0.0006846,0.0
ac_agentic_coding_8k-00003,ac_agentic_coding_8k,naive_summary,anthropic/claude-haiku-4-5,10,8,80176,56697,2282,0.0626197,0.023479,0.005669700000000001,0.01141,0.022061
ac_agentic_coding_8k-00003,ac_agentic_coding_8k,naive_summary,anthropic/claude-sonnet-4-6,10,8,80176,56697,2282,0.1878591,0.070437,0.0170091,0.03423,0.066183
ac_agentic_coding_8k-00003,ac_agentic_coding_8k,naive_summary,openai/gpt-4.1-mini,10,8,80176,56697,2282,0.0275369,0.0093916,0.005669700000000001,0.0036512000000000003,0.0088244
ac_agentic_coding_8k-00003,ac_agentic_coding_8k,naive_summary,openai/gpt-4.1,10,8,80176,56697,2282,0.1376845,0.046958,0.0283485,0.018256,0.044122
ac_agentic_coding_8k-00003,ac_agentic_coding_8k,naive_summary,qwen/qwen3-30b-a3b,10,8,80176,56697,2282,0.0058055699999999995,0.0023479,0.00056697,0.0006846,0.0022061
ac_agentic_coding_8k-00003,ac_agentic_coding_8k,microcompact,anthropic/claude-haiku-4-5,10,2,47207,28214,2282,0.0427574,0.018993,0.0028214,0.01141,0.009533
ac_agentic_coding_8k-00003,ac_agentic_coding_8k,microcompact,anthropic/claude-sonnet-4-6,10,2,47207,28214,2282,0.1282722,0.056979,0.008464199999999998,0.03423,0.028599
ac_agentic_coding_8k-00003,ac_agentic_coding_8k,microcompact,openai/gpt-4.1-mini,10,2,47207,28214,2282,0.017883,0.007597200000000001,0.0028214,0.0036512000000000003,0.0038132
ac_agentic_coding_8k-00003,ac_agentic_coding_8k,microcompact,openai/gpt-4.1,10,2,47207,28214,2282,0.089415,0.037986,0.014107,0.018256,0.019066
ac_agentic_coding_8k-00003,ac_agentic_coding_8k,microcompact,qwen/qwen3-30b-a3b,10,2,47207,28214,2282,0.00381934,0.0018993000000000003,0.00028214,0.0006846,0.0009533
ac_agentic_coding_8k-00003,ac_agentic_coding_8k,prefix_preserving,anthropic/claude-haiku-4-5,10,1,98001,82942,2282,0.0353172,0.015059,0.008294200000000002,0.01141,0.000554
ac_agentic_coding_8k-00003,ac_agentic_coding_8k,prefix_preserving,anthropic/claude-sonnet-4-6,10,1,98001,82942,2282,0.10595159999999999,0.045177,0.024882599999999998,0.03423,0.001662
ac_agentic_coding_8k-00003,ac_agentic_coding_8k,prefix_preserving,openai/gpt-4.1-mini,10,1,98001,82942,2282,0.0181906,0.0060236000000000005,0.008294200000000002,0.0036512000000000003,0.00022160000000000002
ac_agentic_coding_8k-00003,ac_agentic_coding_8k,prefix_preserving,openai/gpt-4.1,10,1,98001,82942,2282,0.090953,0.030118,0.041471,0.018256,0.001108
ac_agentic_coding_8k-00003,ac_agentic_coding_8k,prefix_preserving,qwen/qwen3-30b-a3b,10,1,98001,82942,2282,0.0030753200000000003,0.0015059000000000001,0.0008294200000000001,0.0006846,5.5400000000000005e-05
ac_agentic_coding_8k-00003,ac_agentic_coding_8k,boundary_aware,anthropic/claude-haiku-4-5,10,0,98001,82942,2282,0.0347632,0.015059,0.008294200000000002,0.01141,0.0
ac_agentic_coding_8k-00003,ac_agentic_coding_8k,boundary_aware,anthropic/claude-sonnet-4-6,10,0,98001,82942,2282,0.1042896,0.045177,0.024882599999999998,0.03423,0.0
ac_agentic_coding_8k-00003,ac_agentic_coding_8k,boundary_aware,openai/gpt-4.1-mini,10,0,98001,82942,2282,0.017969000000000002,0.0060236000000000005,0.008294200000000002,0.0036512000000000003,0.0
ac_agentic_coding_8k-00003,ac_agentic_coding_8k,boundary_aware,openai/gpt-4.1,10,0,98001,82942,2282,0.08984500000000001,0.030118,0.041471,0.018256,0.0
ac_agentic_coding_8k-00003,ac_agentic_coding_8k,boundary_aware,qwen/qwen3-30b-a3b,10,0,98001,82942,2282,0.00301992,0.0015059000000000001,0.0008294200000000001,0.0006846,0.0
ac_agentic_coding_8k-00004,ac_agentic_coding_8k,none,anthropic/claude-haiku-4-5,23,0,254644,233764,4795,0.0682314,0.02088,0.023376400000000002,0.023975,0.0
ac_agentic_coding_8k-00004,ac_agentic_coding_8k,none,anthropic/claude-sonnet-4-6,23,0,254644,233764,4795,0.2046942,0.06264,0.0701292,0.071925,0.0
ac_agentic_coding_8k-00004,ac_agentic_coding_8k,none,openai/gpt-4.1-mini,23,0,254644,233764,4795,0.0394004,0.008352,0.023376400000000002,0.007672,0.0
ac_agentic_coding_8k-00004,ac_agentic_coding_8k,none,openai/gpt-4.1,23,0,254644,233764,4795,0.197002,0.04176,0.116882,0.03836,0.0
ac_agentic_coding_8k-00004,ac_agentic_coding_8k,none,qwen/qwen3-30b-a3b,23,0,254644,233764,4795,0.0058641399999999995,0.002088,0.0023376399999999998,0.0014385,0.0
ac_agentic_coding_8k-00004,ac_agentic_coding_8k,naive_summary,anthropic/claude-haiku-4-5,23,21,179099,138852,4795,0.1945632,0.040247,0.0138852,0.023975,0.116456
ac_agentic_coding_8k-00004,ac_agentic_coding_8k,naive_summary,anthropic/claude-sonnet-4-6,23,21,179099,138852,4795,0.5836896,0.120741,0.0416556,0.071925,0.349368
ac_agentic_coding_8k-00004,ac_agentic_coding_8k,naive_summary,openai/gpt-4.1-mini,23,21,179099,138852,4795,0.0842384,0.0160988,0.0138852,0.007672,0.0465824
ac_agentic_coding_8k-00004,ac_agentic_coding_8k,naive_summary,openai/gpt-4.1,23,21,179099,138852,4795,0.421192,0.080494,0.069426,0.03836,0.232912
ac_agentic_coding_8k-00004,ac_agentic_coding_8k,naive_summary,qwen/qwen3-30b-a3b,23,21,179099,138852,4795,0.01849732,0.0040247,0.00138852,0.0014385,0.0116456
